Company,Date,Adj Close,Volume,Difference,Difference_Percentage
T,2020-10-20,16.327782,55064895,-0.0732190000000017,0.4464300685061948
T,2020-10-21,16.303373,63219941,-0.0244089999999985,0.14949366668417402
T,2020-10-22,17.25522,118508460,0.9518470000000008,5.838344004029108
T,2020-10-23,16.974548000000002,56442782,-0.2806720000000027,1.6265918371368355
T,2020-10-26,16.706078,54978438,-0.2684699999999971,1.5816032332642795
T,2020-10-27,16.425409,46561108,-0.2806690000000031,1.6800412400804254
T,2020-10-28,16.169142,64808211,-0.2562669999999976,1.5601864160581789
T,2020-10-29,16.327782,58489289,0.1586399999999983,0.9811281266501236
T,2020-10-30,16.486422,64109669,0.1586400000000019,0.9715955296316544
T,2020-11-02,16.681673,63620980,0.1952509999999989,1.1843139766772859
T,2020-11-03,16.75489,44069208,0.0732169999999996,0.4389068170800353
T,2020-11-04,16.498621,60219095,-0.2562689999999996,1.5295176512647928
T,2020-11-05,16.7854,46498086,0.2867789999999992,1.7381998168210495
T,2020-11-06,16.742691,34735537,-0.0427089999999985,0.2544413597531101
T,2020-11-09,17.267422,93572376,0.5247309999999992,3.1340899739474333
T,2020-11-10,17.603008,58510208,0.3355859999999993,1.9434632454109209
T,2020-11-11,17.529791,52587691,-0.0732169999999996,0.4159345948147023
T,2020-11-12,17.352844,40346649,-0.1769469999999984,1.00940735688177
T,2020-11-13,17.639616,36370545,0.2867719999999991,1.6525936613041592
T,2020-11-16,17.676229,66132476,0.0366129999999991,0.2075612076816134
T,2020-11-17,17.712835000000002,37833830,0.036605999999999,0.2070916822813227
T,2020-11-18,17.462673000000002,39135984,-0.2501619999999995,1.4123205009248918
T,2020-11-19,17.25522,54788444,-0.2074529999999974,1.1879796409175014
T,2020-11-20,17.279625,37358778,0.024404999999997998,0.1414354612691001
T,2020-11-23,17.462673000000002,36832091,0.1830479999999994,1.0593285444562566
T,2020-11-24,17.834869,58266592,0.3721960000000024,2.131380459337482
T,2020-11-25,17.688433,32423701,-0.1464360000000013,0.8210657448619405
T,2020-11-27,17.712835000000002,20720335,0.0244019999999984,0.1379545604746247
T,2020-11-30,17.54199,57382822,-0.1708449999999999,0.9645265707042374
T,2020-12-01,17.61521,55682012,0.0732200000000027,0.41739848215625897
T,2020-12-02,17.749445,39041053,0.1342350000000003,0.7620403049410158
T,2020-12-03,17.834869,46284260,0.0854239999999997,0.4812770202110529
T,2020-12-04,18.024017,49948562,0.1891479999999994,1.0605516642707016
T,2020-12-07,18.085035,45853562,0.0610180000000006,0.3385371862443354
T,2020-12-08,18.798918,97456992,0.7138829999999992,3.9473686393197416
T,2020-12-09,19.195518,93587470,0.3965999999999994,2.1096958878165193
T,2020-12-10,18.725698,62270236,-0.4698199999999985,2.447550516740411
T,2020-12-11,18.920948000000003,41708913,0.1952499999999979,1.0426847640071837
T,2020-12-14,18.640273999999998,56451785,-0.2806739999999976,1.483403474286794
T,2020-12-15,18.658579,44250331,0.018304999999998,0.0982013461819178
T,2020-12-16,18.48163,45926250,-0.1769490000000004,0.9483519618509024
T,2020-12-17,18.072826,81662996,-0.4088039999999999,2.21194775569038
T,2020-12-18,17.938593,98528240,-0.1342329999999982,0.7427338701761323
T,2020-12-21,17.700634,63319903,-0.237959,1.3265198669706149
T,2020-12-22,17.328438000000002,84593405,-0.3721960000000024,2.102726941871135
T,2020-12-23,17.54199,52034656,0.2135519999999999,1.2323788214494578
T,2020-12-24,17.505383,25358704,-0.036607,0.2086821392555808
T,2020-12-28,17.41996,55104218,-0.0854229999999987,0.4879813255156925
T,2020-12-29,17.413857999999998,48481570,-0.0061019999999984,0.0350287830741201
T,2020-12-30,17.383352,45476487,-0.0305060000000025,0.1751823174393783
T,2020-12-31,17.548092,51135925,0.1647400000000018,0.9476883399703458
T,2021-01-04,17.963001000000002,86700816,0.414908999999998,2.3644109000568148
